"","latitude","longitude"
"1",51.5400695,-0.1352021
"2",51.5400586,-0.1351791
"3",51.5400489,-0.1351582
"4",51.5400393,-0.1351364
"5",51.5400295,-0.1351161
"6",51.5400219,-0.1351033
"7",51.5400114,-0.1350919
"8",51.5400006,-0.1350796
"9",51.5399892,-0.1350674
"10",51.5399785,-0.1350542
"11",51.5399684,-0.1350393
"12",51.5399563,-0.1350302
"13",51.539944,-0.1350203
"14",51.5399325,-0.1350098
"15",51.539922,-0.1349981
"16",51.5399125,-0.1349854
"17",51.5398948,-0.1349739
"18",51.5398772,-0.1349643
"19",51.539861,-0.1349557
"20",51.5398452,-0.1349509
"21",51.5398314,-0.1349403
"22",51.5398201,-0.1349296
"23",51.5398104,-0.1349183
"24",51.5397991,-0.1349076
"25",51.5397885,-0.1348967
"26",51.5397774,-0.1348871
"27",51.539768,-0.1348853
"28",51.5397589,-0.1348834
"29",51.5397499,-0.1348767
"30",51.5397417,-0.1348745
"31",51.5397343,-0.1348714
"32",51.5397277,-0.1348693
"33",51.5397192,-0.1348634
"34",51.5397097,-0.1348554
"35",51.5396972,-0.1348435
"36",51.5396854,-0.1348304
"37",51.5396764,-0.1348192
"38",51.5396699,-0.134808
"39",51.5396632,-0.1347958
"40",51.5396554,-0.1347826
"41",51.5396458,-0.1347722
"42",51.5396342,-0.1347656
"43",51.5396227,-0.1347572
"44",51.5396125,-0.1347462
"45",51.5396029,-0.1347297
"46",51.539594,-0.134713
"47",51.5395858,-0.1346985
"48",51.5395759,-0.1346863
"49",51.5395671,-0.1346746
"50",51.5395595,-0.1346618
"51",51.5395523,-0.1346472
"52",51.5395468,-0.1346303
"53",51.5395417,-0.134611
"54",51.5395353,-0.1345898
"55",51.5395273,-0.1345685
"56",51.5395153,-0.1345439
"57",51.5395026,-0.1345201
"58",51.5394891,-0.1344967
"59",51.5394756,-0.1344715
"60",51.5394623,-0.1344478
"61",51.5394497,-0.1344253
"62",51.5394391,-0.1344096
"63",51.5394296,-0.1343959
"64",51.5394196,-0.134383
"65",51.5394078,-0.1343717
"66",51.5393965,-0.1343585
"67",51.5393872,-0.1343405
"68",51.5393798,-0.1343206
"69",51.539374,-0.1343003
"70",51.539368,-0.1342812
"71",51.5393617,-0.134265
"72",51.5393548,-0.1342552
"73",51.539346,-0.1342483
"74",51.5393373,-0.1342396
"75",51.5393277,-0.1342241
"76",51.5393182,-0.1342106
"77",51.5393068,-0.1341973
"78",51.5392963,-0.1341811
"79",51.5392867,-0.1341639
"80",51.5392781,-0.1341449
"81",51.5392716,-0.1341249
"82",51.5392667,-0.134103
"83",51.5392609,-0.1340812
"84",51.5392545,-0.1340618
"85",51.5392463,-0.1340437
"86",51.539239,-0.1340302
"87",51.5392438,-0.1340334
"88",51.5392519,-0.1340439
"89",51.539256,-0.1340496
"90",51.539262,-0.1340449
"91",51.5392676,-0.1340389
"92",51.5392709,-0.1340369
"93",51.5392734,-0.1340351
"94",51.539273,-0.1340333
"95",51.5392741,-0.1340258
"96",51.5392727,-0.1340195
"97",51.5392688,-0.1340109
"98",51.5392631,-0.1340001
"99",51.5392542,-0.133983
"100",51.5392443,-0.1339644
"101",51.5392357,-0.1339517
"102",51.5392264,-0.1339415
"103",51.5392172,-0.133933
"104",51.5392079,-0.1339236
"105",51.5391979,-0.1339117
"106",51.5391882,-0.1339001
"107",51.5391787,-0.1338907
"108",51.5391684,-0.1338823
"109",51.5391576,-0.1338758
"110",51.5391466,-0.1338725
"111",51.5391355,-0.1338695
"112",51.5391242,-0.1338636
"113",51.5391133,-0.1338554
"114",51.5391036,-0.133847
"115",51.5390938,-0.1338378
"116",51.5390839,-0.1338328
"117",51.5390745,-0.133832
"118",51.5390749,-0.1338359
"119",51.5390786,-0.1338385
"120",51.53908,-0.1338407
"121",51.5390743,-0.1338369
